asset_id,name,category,subcategory,source_zip,source_filename,source_path_inside_zip,target_r2_key,target_public_url,needs_conversion,conversion_reason,notes
meghna_female_accessory_black_leather_fringe_midi_skirt,Black Leather Fringe Midi Skirt,accessory,,womens assets.zip,black leather fringe midi skirt.jpg,womens assets/bottoms/black leather fringe midi skirt.jpg,female-assets/accessory/black_leather_fringe_midi_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/black_leather_fringe_midi_skirt.jpg,false,,
meghna_female_bottom_black_midi_skirt,Black Midi Skirt,bottom,skirt,womens assets.zip,black midi skirt.jpg,womens assets/bottoms/black midi skirt.jpg,female-assets/bottom/black_midi_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/black_midi_skirt.jpg,false,,
meghna_female_bottom_black_wide_leg_trouser,Black Wide Leg Trouser,bottom,trouser,womens assets.zip,Black Wide Leg Trouser.jfif,womens assets/bottoms/Black Wide Leg Trouser.jfif,female-assets/bottom/black_wide_leg_trouser.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/black_wide_leg_trouser.jpg,true,.jfif source -> .jpg target (R2 key is .jpg),
meghna_female_bottom_blue_block_print_maxi_skirt,Blue Block Print Maxi Skirt,bottom,skirt,womens assets.zip,blue block print maxi skirt.jpg,womens assets/bottoms/blue block print maxi skirt.jpg,female-assets/bottom/blue_block_print_maxi_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/blue_block_print_maxi_skirt.jpg,false,,
meghna_female_bottom_blue_denim_maxi_skirt,Blue Denim Maxi Skirt,bottom,skirt,womens assets.zip,blue denim maxi skirt.jpg,womens assets/bottoms/blue denim maxi skirt.jpg,female-assets/bottom/blue_denim_maxi_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/blue_denim_maxi_skirt.jpg,false,,
meghna_female_bottom_blue_floral_maxi_skirt,Blue Floral Maxi Skirt,bottom,skirt,womens assets.zip,blue floral maxi skirt.jpg,womens assets/bottoms/blue floral maxi skirt.jpg,female-assets/bottom/blue_floral_maxi_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/blue_floral_maxi_skirt.jpg,false,,
meghna_female_bottom_blue_ginghem_middi_skirt,Blue Ginghem Middi Skirt,bottom,skirt,womens assets.zip,blue ginghem middi skirt.jpg,womens assets/bottoms/blue ginghem middi skirt.jpg,female-assets/bottom/blue_ginghem_middi_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/blue_ginghem_middi_skirt.jpg,false,,
meghna_female_bottom_blue_jeans,Blue Jeans,bottom,jeans,womens assets.zip,blue jeans.jpg,womens assets/bottoms/blue jeans.jpg,female-assets/bottom/blue_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/blue_jeans.jpg,false,,
meghna_female_bottom_blue_light_jeans,Blue Light Jeans,bottom,jeans,womens assets.zip,blue light jeans.jpg,womens assets/bottoms/blue light jeans.jpg,female-assets/bottom/blue_light_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/blue_light_jeans.jpg,false,,
meghna_female_bottom_blue_torn_jeans,Blue Torn Jeans,bottom,jeans,womens assets.zip,blue torn jeans.jpg,womens assets/bottoms/blue torn jeans.jpg,female-assets/bottom/blue_torn_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/blue_torn_jeans.jpg,false,,
meghna_female_bottom_brown_cycling_shorts,Brown Cycling Shorts,bottom,shorts,womens assets.zip,brown cycling shorts.jpg,womens assets/bottoms/brown cycling shorts.jpg,female-assets/bottom/brown_cycling_shorts.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/brown_cycling_shorts.jpg,false,,
meghna_female_bottom_brown_skirt,Brown Skirt,bottom,skirt,womens assets.zip,brown skirt.jpg,womens assets/bottoms/brown skirt.jpg,female-assets/bottom/brown_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/brown_skirt.jpg,false,,
meghna_female_bottom_burnt_red_cycling_shorts,Burnt Red Cycling Shorts,bottom,shorts,womens assets.zip,burnt red cycling shorts.jpg,womens assets/bottoms/burnt red cycling shorts.jpg,female-assets/bottom/burnt_red_cycling_shorts.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/burnt_red_cycling_shorts.jpg,false,,
meghna_female_bottom_charcoal_tailored_trouser,Charcoal Tailored Trouser,bottom,trouser,womens assets.zip,Charcoal Tailored Trouser.jfif,womens assets/bottoms/Charcoal Tailored Trouser.jfif,female-assets/bottom/charcoal_tailored_trouser.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/charcoal_tailored_trouser.jpg,true,.jfif source -> .jpg target (R2 key is .jpg),
meghna_female_bottom_cream_cycling_shorts,Cream Cycling Shorts,bottom,shorts,womens assets.zip,cream cycling shorts.jpg,womens assets/bottoms/cream cycling shorts.jpg,female-assets/bottom/cream_cycling_shorts.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/cream_cycling_shorts.jpg,false,,
meghna_female_bottom_cream_midi_skirt_with_slit,Cream Midi Skirt With Slit,bottom,skirt,womens assets.zip,cream midi skirt with slit.jpg,womens assets/bottoms/cream midi skirt with slit.jpg,female-assets/bottom/cream_midi_skirt_with_slit.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/cream_midi_skirt_with_slit.jpg,false,,
meghna_female_bottom_cream_wide_leg_trouser,Cream Wide Leg Trouser,bottom,trouser,womens assets.zip,Cream Wide Leg Trouser.jfif,womens assets/bottoms/Cream Wide Leg Trouser.jfif,female-assets/bottom/cream_wide_leg_trouser.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/cream_wide_leg_trouser.jpg,true,.jfif source -> .jpg target (R2 key is .jpg),
meghna_female_bottom_dark_blue_denim_skirt_knee_length,Dark Blue Denim Skirt Knee Length,bottom,skirt,womens assets.zip,dark blue denim skirt knee length.jpg,womens assets/bottoms/dark blue denim skirt knee length.jpg,female-assets/bottom/dark_blue_denim_skirt_knee_length.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/dark_blue_denim_skirt_knee_length.jpg,false,,
meghna_female_bottom_dark_blue_jeans,Dark Blue Jeans,bottom,jeans,womens assets.zip,dark blue jeans.jpg,womens assets/bottoms/dark blue jeans.jpg,female-assets/bottom/dark_blue_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/dark_blue_jeans.jpg,false,,
meghna_female_bottom_dark_grey_jeans,Dark Grey Jeans,bottom,jeans,womens assets.zip,dark grey jeans.jpg,womens assets/bottoms/dark grey jeans.jpg,female-assets/bottom/dark_grey_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/dark_grey_jeans.jpg,false,,
meghna_female_bottom_denim_skirt_short,Denim Skirt Short,bottom,skirt,womens assets.zip,denim skirt short.jpg,womens assets/bottoms/denim skirt short.jpg,female-assets/bottom/denim_skirt_short.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/denim_skirt_short.jpg,false,,
meghna_female_bottom_ecru_jean,Ecru Jean,bottom,,womens assets.zip,Ecru Jean.jfif,womens assets/bottoms/Ecru Jean.jfif,female-assets/bottom/ecru_jean.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/ecru_jean.jpg,true,.jfif source -> .jpg target (R2 key is .jpg),
meghna_female_accessory_leather_fringe_pants,Leather Fringe Pants,accessory,,womens assets.zip,leather fringe pants.jpg,womens assets/bottoms/leather fringe pants.jpg,female-assets/accessory/leather_fringe_pants.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/leather_fringe_pants.jpg,false,,
meghna_female_bottom_light_blue_jeans,Light Blue Jeans,bottom,jeans,womens assets.zip,light blue jeans.jpg,womens assets/bottoms/light blue jeans.jpg,female-assets/bottom/light_blue_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/light_blue_jeans.jpg,false,,
meghna_female_bottom_medium_denim_shorts_high_waisted,Medium Denim Shorts High Waisted,bottom,shorts,womens assets.zip,medium denim shorts high waisted.jpg,womens assets/bottoms/medium denim shorts high waisted.jpg,female-assets/bottom/medium_denim_shorts_high_waisted.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/medium_denim_shorts_high_waisted.jpg,false,,
meghna_female_bottom_navy_blue_denim_shorts_high_waisted,Navy Blue Denim Shorts High Waisted,bottom,shorts,womens assets.zip,navy blue denim shorts high waisted.jpg,womens assets/bottoms/navy blue denim shorts high waisted.jpg,female-assets/bottom/navy_blue_denim_shorts_high_waisted.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/navy_blue_denim_shorts_high_waisted.jpg,false,,
meghna_female_bottom_navy_blue_high_rise_jeans,Navy Blue High Rise Jeans,bottom,jeans,womens assets.zip,navy blue high rise jeans.jpg,womens assets/bottoms/navy blue high rise jeans.jpg,female-assets/bottom/navy_blue_high_rise_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/navy_blue_high_rise_jeans.jpg,false,,
meghna_female_bottom_navy_blue_jeans,Navy Blue Jeans,bottom,jeans,womens assets.zip,navy blue jeans.jpg,womens assets/bottoms/navy blue jeans.jpg,female-assets/bottom/navy_blue_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/navy_blue_jeans.jpg,false,,
meghna_female_bottom_pink_block_print_maxi_skirt,Pink Block Print Maxi Skirt,bottom,skirt,womens assets.zip,pink block print maxi skirt.jpg,womens assets/bottoms/pink block print maxi skirt.jpg,female-assets/bottom/pink_block_print_maxi_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/pink_block_print_maxi_skirt.jpg,false,,
meghna_female_accessory_red_high_waisted_belted_pants,Red High Waisted Belted Pants,accessory,belt,womens assets.zip,red high waisted belted pants.jpg,womens assets/bottoms/red high waisted belted pants.jpg,female-assets/accessory/red_high_waisted_belted_pants.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/red_high_waisted_belted_pants.jpg,false,,
meghna_female_bottom_red_pleated_maxi_skirt,Red Pleated Maxi Skirt,bottom,skirt,womens assets.zip,red pleated maxi skirt.jpg,womens assets/bottoms/red pleated maxi skirt.jpg,female-assets/bottom/red_pleated_maxi_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/red_pleated_maxi_skirt.jpg,false,,
meghna_female_bottom_straight_blue_jean,Straight Blue Jean,bottom,,womens assets.zip,Straight Blue Jean.jfif,womens assets/bottoms/Straight Blue Jean.jfif,female-assets/bottom/straight_blue_jean.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/straight_blue_jean.jpg,true,.jfif source -> .jpg target (R2 key is .jpg),
meghna_female_bottom_white_jeans,White Jeans,bottom,jeans,womens assets.zip,white jeans.jpg,womens assets/bottoms/white jeans.jpg,female-assets/bottom/white_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/white_jeans.jpg,false,,
meghna_female_bottom_yellow_pleated_midi_skirt,Yellow Pleated Midi Skirt,bottom,skirt,womens assets.zip,yellow pleated midi skirt.jpg,womens assets/bottoms/yellow pleated midi skirt.jpg,female-assets/bottom/yellow_pleated_midi_skirt.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/yellow_pleated_midi_skirt.jpg,false,,
meghna_female_dress_baby_blue_midi_dress,Baby Blue Midi Dress,dress,midi_dress,womens assets.zip,baby blue midi dress.jpg,womens assets/dresses/baby blue midi dress.jpg,female-assets/dress/baby_blue_midi_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/baby_blue_midi_dress.jpg,false,,
meghna_female_dress_barbiepinkboatneckdress,Barbiepinkboatneckdress,dress,dress,womens assets.zip,barbiepinkboatneckdress.jpg,womens assets/dresses/barbiepinkboatneckdress.jpg,female-assets/dress/barbiepinkboatneckdress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/barbiepinkboatneckdress.jpg,false,,
meghna_female_dress_beaded_black_sleeveless_dress,Beaded Black Sleeveless Dress,dress,dress,womens assets.zip,beaded black sleeveless dress.jpg,womens assets/dresses/beaded black sleeveless dress.jpg,female-assets/dress/beaded_black_sleeveless_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/beaded_black_sleeveless_dress.jpg,false,,
meghna_female_dress_black_and_white_polka_dot_dress,Black And White Polka Dot Dress,dress,dress,womens assets.zip,black and white polka dot dress.jpg,womens assets/dresses/black and white polka dot dress.jpg,female-assets/dress/black_and_white_polka_dot_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/black_and_white_polka_dot_dress.jpg,false,,
meghna_female_dress_black_lace_dress,Black Lace Dress,dress,dress,womens assets.zip,black lace dress.jpg,womens assets/dresses/black lace dress.jpg,female-assets/dress/black_lace_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/black_lace_dress.jpg,false,,
meghna_female_dress_black_minimal_midi_dress,Black Minimal Midi Dress,dress,midi_dress,womens assets.zip,Black Minimal Midi Dress.jfif,womens assets/dresses/Black Minimal Midi Dress.jfif,female-assets/dress/black_minimal_midi_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/black_minimal_midi_dress.jpg,true,.jfif source -> .jpg target (R2 key is .jpg),
meghna_female_dress_black_velvet_short_dress,Black Velvet Short Dress,dress,dress,womens assets.zip,black velvet short dress.jpg,womens assets/dresses/black velvet short dress.jpg,female-assets/dress/black_velvet_short_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/black_velvet_short_dress.jpg,false,,
meghna_female_dress_blackandwhiteboatneckmini,Blackandwhiteboatneckmini,dress,mini,womens assets.zip,blackandwhiteboatneckmini.jpg,womens assets/dresses/blackandwhiteboatneckmini.jpg,female-assets/dress/blackandwhiteboatneckmini.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/blackandwhiteboatneckmini.jpg,false,,
meghna_female_dress_blackboatneckmidi,Blackboatneckmidi,dress,midi,womens assets.zip,blackboatneckmidi.jpg,womens assets/dresses/blackboatneckmidi.jpg,female-assets/dress/blackboatneckmidi.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/blackboatneckmidi.jpg,false,,
